Name,Price,Specifications
Redmi 12 5G Pastel Blue 8GB RAM 256GB ROM,"₹15,499",Save extra with No Cost EMI
Redmi Note 12 5G Frosted Green 4GB RAM 128GB ROM | 1st Phone with 120Hz Super AMOLED and Snapdragon® 4 Gen 1 | 48MP AI Triple Camera,"₹15,499",Flat INR 2000 Off on HDFC BankCards
"iQOO Z7s 5G by vivo (Pacific Night, 6GB RAM, 128GB Storage) | Ultra Bright AMOLED Display | Snapdragon 695 5G 6nm Processor | 64 MP OIS Ultra Stable Camera | 44WFlashCharge","₹15,999",Flat INR 1000 Off on HDFC BankCards
"iQOO Z7s 5G by vivo (Pacific Night, 8GB RAM, 128GB Storage) | Ultra Bright AMOLED Display | Snapdragon 695 5G 6nm Processor | 64 MP OIS Ultra Stable Camera | 44WFlashCharge","₹16,999",Flat INR 1000 Off on HDFC BankCards
"OnePlus Nord CE 2 Lite 5G (Black Dusk, 6GB RAM, 128GB Storage)","₹17,999",Save extra with No Cost EMI
Redmi 12 5G Moonstone Silver 8GB RAM 256GB ROM,"₹15,499",Save extra with No Cost EMI
"OnePlus Nord CE 2 Lite 5G (Blue Tide, 6GB RAM, 128GB Storage)","₹17,999",Save extra with No Cost EMI
"iQOO Z7s 5G by vivo (Norway Blue, 8GB RAM, 128GB Storage) | Ultra Bright AMOLED Display | Snapdragon 695 5G 6nm Processor | 64 MP OIS Ultra Stable Camera | 44WFlashCharge","₹16,999",Flat INR 1000 Off on HDFC BankCards
"realme narzo 60 5G (Mars Orange,8GB+256GB) | 90Hz Super AMOLED Display | Ultra Premium Vegan Leather Design | with 33W SUPERVOOC Charger","₹19,999","₹2,000 coupon applied at checkoutSave ₹2,000  with coupon"
Redmi 12 5G Jade Black 8GB RAM 256GB ROM,"₹15,499",Save extra with No Cost EMI
"Oppo A78 5G (Glowing Black, 8GB RAM, 128 Storage) | 5000 mAh Battery with 33W SUPERVOOC Charger| 50MP AI Camera | 90Hz Refresh Rate | with No Cost EMI/Additional Exchange Offers","₹18,999",Flat INR 1899 Off on HDFC BankCards
Nokia G42 5G | Snapdragon® 480+ 5G | 50MP Triple AI Camera | 16GB RAM (8GB RAM + 8GB Virtual RAM) | 256GB Storage | 5000mAh Battery | 2 Years Android Upgrades | 20W Charger Included | So Pink,"₹16,999",Save extra with No Cost EMI
Redmi 12 5G Pastel Blue 8GB RAM 256GB ROM,"₹15,499",Save extra with No Cost EMI
"Vivo T2x 5G (Marine Blue, 128 GB) (6 GB RAM)","₹16,300",N/A
"TECNO Pova 5 Pro 5G (Dark Illusion, 8GB RAM,256GB Storage)| Segment 1st 68W Ultra Fast Charging | India's 1st Multi-Colored Backlit ARC Interface | 50MP AI Dual Camera | 6.78”FHD+ Dot-in Display","₹15,999","₹1,500 coupon applied at checkoutSave ₹1,500  with coupon"
"OUKITEL WP20 Pro Rugged Phone, Android 12, 20MP Dual Camera IP68 Waterproof Shockproof, Octa Core 4GB 64GB 6300mAh Battery, 5.93 Inch HD+, Dual SIM","₹16,200",N/A
"Vivo Y56 5G (Black Engine, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","₹17,999",Save extra with No Cost EMI
"Oppo A78 (Aqua Green, 8GB RAM, 128GB Storage) | 6.4"" FHD+ AMOLED 90Hz Punch Hole Display | 5000 mAh Battery and 67W SUPERVOOC with No Cost EMI/Additional Exchange Offers","₹15,499",Flat INR 1500 Off on HDFC BankCards
"Vivo Y56 5G (Orange Shimmer, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","₹17,999",Save extra with No Cost EMI
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 8GB RAM, 128GB Storage)","₹19,999",N/A
"Lava Agni 2 5G (Glass Viridian, 8GB RAM, 256GB Storage) | India's First Dimensity 7050 Processor | 120 Hz Curved Amoled Display | 13 5G Bands | Superfast 66W Charging | Clean Android","₹19,999",N/A
"realme narzo 60 5G (Cosmic Black,8GB+128GB) | 90Hz Super AMOLED Display | Ultra Sharp 64 MP Camera | with 33W SUPERVOOC Charger","₹17,999","₹2,500 coupon applied at checkoutSave ₹2,500  with coupon"
"realme narzo 60 5G (Cosmic Black,8GB+256GB) | 90Hz Super AMOLED Display | Ultra Sharp 64 MP Camera | with 33W SUPERVOOC Charger","₹19,999",N/A
"TECNO Pova 5 Pro 5G (Silver Fantasy, 8GB RAM,256GB Storage)| Segment 1st 68W Ultra Fast Charging | India's 1st Multi-Colored Backlit ARC Interface | 50MP AI Dual Camera |6.78”FHD+ Dot-in Display","₹15,999","₹1,500 coupon applied at checkoutSave ₹1,500  with coupon"
"realme narzo 60 5G (Mars Orange,8GB+128GB) 90Hz Super AMOLED Display | Ultra Premium Vegan Leather Design | with 33W SUPERVOOC Charger","₹17,999",N/A
"Samsung Galaxy A14 5G (Black, 8GB, 128GB Storage) | Triple Rear Camera (50 MP Main) | Upto 16 GB RAM with RAM Plus | Without Charger","₹18,999",Save extra with No Cost EMI
"Samsung Galaxy A14 5G (Black, 6GB, 128GB Storage) | Triple Rear Camera (50 MP Main) | Upto 12 GB RAM with RAM Plus | Without Charger","₹16,999",Save extra with No Cost EMI
"TECNO Pova 5 Pro 5G (Dark Illusion, 8GB RAM,256GB Storage)| Segment 1st 68W Ultra Fast Charging | India's 1st Multi-Colored Backlit ARC Interface | 50MP AI Dual Camera | 6.78”FHD+ Dot-in Display","₹15,999","₹1,500 coupon applied at checkoutSave ₹1,500  with coupon"
